order_id,customer_id,order_status,order_purchase_timestamp,customer_unique_id,customer_state,order_purchase_in_months,review_score,review_comment_title,review_comment_message,payment_installments,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_value
0006ec9db01a64e59a68b2c340bf65a7,5d178120c29c61748ea95bac23cb8f25,delivered,2018-07-24 17:04:17,7ed0ea20347f67fe61d1c99fdf8556ae,RJ,5.0,5,Boa,Excelente serviço de compras on line.,4,1,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,2018-07-26 17:24:20,74.0,23.32,97.32
000aed2e25dbad2f9ddb70584c5a2ded,fff5169e583fd07fac9fec88962f189d,delivered,2018-05-11 20:33:38,6457be0b331148fb5454efc88d1e03d9,SP,7.0,1,produto não entregue,"Mudo minha opinião assim que receber o produto.
Consta no site que o produto foi entregue, mas não recebi.",1,1,4fa33915031a8cde03dd0d3e8fb27f01,fe2032dab1a61af8794248c8196565c9,2018-05-16 20:57:03,144.0,8.77,152.77
00130c0eee84a3d909e75bc08c5c3ca1,47d656c08a282ec5ab4c1f18303a3a30,delivered,2018-06-11 21:17:00,b5910f24d2483d697b37e3857b621061,SP,6.0,5,Super Recomendo,"Produto entregue adequadamente e muito rápido, gostei muito do serviço.",1,1,89321f94e35fc6d7903d36f74e351d40,16090f2ca825584b5a147ab24aa30c86,2018-06-14 05:16:24,27.9,7.94,35.84
001e7cf2ad6bef3ade12ebc56ceaf0f3,d1684ed69f8fd574b7c344de923f379a,delivered,2018-05-19 10:29:23,43860f86362fea12550bfa19ef73015f,MG,7.0,1,Pessima,O produto chegou e estragou sozinho,2,1,bdcf6a834e8faa30dac3886c7a58e92e,2a84855fd20af891be03bc5924d2b453,2018-05-22 10:59:50,35.9,15.2,51.1
002175704e8b209f61b9ad5cfd92b60e,a562db3c7cb9a68947debd30879b491e,delivered,2018-04-22 12:13:25,e7d41c19da317af0612170197303d5a9,SP,8.0,4,Recomendo,Produto como descrito. Mas não gostei pq o som do alarme é muito baixo.. ,3,1,e6b6e13cf71449a457269f425b89dc74,b2ba3715d723d245138f291a6fe42594,2018-04-26 12:30:57,109.9,13.21,123.11
0025c5d1a8ca53a240ec2634bb4492ea,2430ad4b1b6efb56cf3050b5d3cf5e54,delivered,2018-07-08 09:17:59,fa78b26c2fa23b2ebda98c2926305c1d,CE,5.0,5,sensacional,"ótimo produto, bom acabamento. Para quem está começando nesse estudo sobre o universo, principalmente estudantes é uma ótima ferramenta. Tenho feito vários estudos com o auxilio do telescópio.",7,1,35537536ed2b4c561b4018bf3abf54e0,955fee9216a65b617aa5c0531780ce60,2018-07-10 09:30:09,390.0,29.39,419.39
0036757472ece3dde52fd4bfd929c90e,ea477083e770db0655938e79149f8c24,delivered,2018-07-19 14:58:59,be03685420bb977861dda08f4b4088b3,SP,5.0,2,Mesa com cavaletes ,"Demora absurda para entrega, dentro do prazo especificado por eles, mas ainda sim muito demorado!",1,1,4c1bbc12438daec98a77243c2bf7a3ba,7c67e1448b00f6e969d365cea6b010ab,2018-08-08 15:10:11,136.99,66.04,203.03
0039500db36d50d7d0bfaf23723550f3,90bd9911aed064dfc625750fbd83ebca,delivered,2018-07-06 10:37:32,77971c2442b1adbbe0448409df2ea56a,AL,5.0,5,Ótima qualidade,"Produto de ótima qualidade, sabor ótimo. Entregue antes do prazo",2,1,62984ea1bba7fcea1f5b57084d3bf885,c3cfdc648177fdbbbb35635a37472c53,2018-07-10 10:51:09,169.9,33.33,203.23
003cc6161d7a2593f2525cce0c330d32,7d9802889236ab8fc541bfb438978cd7,delivered,2018-08-03 19:33:35,0c35f915ac95c942a535a99bc22524a8,SP,4.0,5,Muito rápido a entrega! ,Amei o conj! Foi entregue rápido! O conj é perfeito ,4,1,fadc89c2a60ff96b18827644074dfd70,53e4c6e0f4312d4d2107a8c9cddf45cd,2018-08-07 20:04:14,85.0,12.9,97.9
003edccf16bc5ec447f592913b3df2b4,ab3642244247c0c638253fe68ee4c345,delivered,2018-07-07 09:02:51,5c96a427e784b5e917f5a4fbf0f9e84a,MA,5.0,5,Bom ,Ótimo ,1,1,500870614ddcf5bd84f7d26861026c8a,ef506c96320abeedfb894c34db06f478,2018-07-12 10:15:21,14.0,50.85,64.85
004345d16a1ab2c21962992c721c8643,3b723b649feb48f3cfbb9c728efb3d7d,delivered,2018-07-04 06:45:05,8c07068e51d745035b296ebc1c8cd16a,GO,5.0,5,Bom.,"Recebi tudo certinho, recomendo.",1,1,d0fb1e667e989933a80444f93da833c0,0be8ff43f22e456b4e0371b2245e4d01,2018-07-10 07:31:33,37.9,15.37,53.27
004b62108b876867938746ad3154167f,7ddb7e4242fcc518842aade22f5bee4d,delivered,2018-07-04 20:34:26,49e67d53accc3f7540aa695b147e8b05,SP,5.0,5,Muito bom fornecedor,Chegou corretamente e antes do prazo! ,1,1,c589625c8ccc7bfd2e8f1fb041e24c4a,c70c1b0d8ca86052f45a432a38b73958,2018-07-10 05:31:03,110.32,8.03,118.35
004ca5ae248069d68e8594df8abf6ce0,576908744ae56c9cf061c40a434e2a24,delivered,2018-06-06 18:30:20,7af7a47d87d53e6db00e70790bba0370,PA,6.0,5,Obrigada,"Adorei meu produto, e chegou tudo perfeitamente ",4,1,cd71c76f5ab15f51f24fb214fc42d8ab,620c87c171fb2a6dd6e8bb4dec959fc6,2018-06-14 18:52:39,159.9,61.18,221.08
